movieId,keywordId
297761,8000
297761,18293
297761,7534
297761,478
297761,7054
297761,21474
673,7925
673,4681
673,14588
673,3936
673,3059
673,597
673,6808
673,12106
673,12634
673,14963
673,3119
673,10185
673,18904
673,17716
673,20001
673,4369
673,6564
673,9329
673,17845
673,20162
673,8852
673,5235
673,5372
673,14139
673,14304
10195,4932
10195,18293
10195,17973
10195,17780
10195,17040
10195,19611
10195,8415
10195,6564
10195,13930
10195,14291
10195,9128
10195,20564
10138,15599
10138,18293
10138,18396
10138,17040
10138,1180
10138,6564
10138,13930
10138,4714
272,2243
272,21114
272,11835
272,13073
272,813
272,18293
272,17040
272,9314
272,3053
272,16295
272,13515
272,2916
272,2774
272,20147
272,13077
272,12932
284053,18293
284053,17040
284053,15325
284053,10838
284053,9087
284053,8415
284053,6564
284053,14394
284053,13930
284053,18292
284053,10011
150540,14128
150540,10383
150540,240
150540,1540
150540,4197
150540,21256
150540,14840
150540,15833
150540,14981
150540,1188
150540,17743
150540,19309
150540,13884
150540,19792
150540,14394
150540,21076
135397,19625
135397,596
135397,10311
135397,16827
135397,10210
135397,8432
135397,5063
135397,15325
135397,1093
135397,1364
135397,1214
135397,14595
135397,6261
135397,18427
135397,787
135397,13928
135397,8961
807,16985
807,7683
807,19139
807,18548
807,14670
807,15210
807,7293
807,2347
807,537
807,11910
807,20545
807,5937
807,11079
807,13772
807,8527
807,9617
807,12958
807,15115
807,5584
807,18536
807,16632
674,7925
674,5789
674,3297
674,3059
674,20227
674,15930
674,17626
674,7439
674,12634
674,14963
674,17641
674,12463
674,10185
674,16690
674,21415
674,4369
674,141
674,8852
674,5372
674,14304
22,6957
22,15529
22,19712
22,14368
22,20662
22,12064
22,19281
22,13165
22,2383
22,2876
22,5834
22,3467
22,6564
22,16449
22,2566
22,20435
22,14535
12445,7925
12445,5789
12445,10136
12445,4743
12445,3059
12445,12634
12445,14967
12445,10185
12445,15697
12445,4369
12445,141
12445,8852
12445,5372
12445,7003
12445,14304
11,9010
11,2430
11,3517
11,8929
11,11645
11,14272
11,208
11,6645
11,16057
11,526
11,6474
11,2215
11,2916
11,436
11,752
11,4369
11,7862
297762,19625
297762,19833
297762,6372
297762,19463
297762,21085
297762,18293
297762,492
297762,44
297762,17040
297762,5659
297762,9845
297762,2916
297762,2654
297762,394
297762,19358
297762,11921
297762,21474
14160,212
14160,11307
14160,11843
14160,2025
14160,5041
14160,14394
14160,374
14160,11624
14160,5881
102899,18293
102899,19019
102899,4732
102899,17040
102899,12817
102899,3221
102899,2234
102899,6564
102899,14394
102899,13930
238,3297
238,11835
238,13310
238,17801
238,4147
238,3402
238,7045
238,14112
238,20912
238,15115
238,12897
238,2125
238,3261
238,11451
238,13893
238,2715
238,1731
238,104
238,6340
238,4161
238,6183
238,11906
286217,18370
286217,13040
286217,3297
286217,3153
286217,19113
286217,3662
286217,15957
286217,4497
286217,526
286217,10045
286217,16611
286217,19682
286217,15315
286217,14394
286217,20756
286217,10138
286217,9297
105,17377
105,18658
105,1954
105,3359
105,5105
105,6504
105,249
105,924
105,13148
105,7904
105,3119
105,9754
105,6965
105,17225
105,9203
105,18687
105,10229
105,8134
105,7665
105,20162
105,5399
105,6183
105,17208
105,13066
140607,8929
140607,18370
140607,752
634649,13696
634649,19833
634649,9860
634649,3059
634649,11835
634649,13073
634649,18293
634649,478
634649,16021
634649,15325
634649,16295
634649,11842
634649,17816
634649,14293
634649,18870
634649,6564
634649,14394
634649,13930
634649,21489
634649,19675
634649,4137
634649,10014
634649,14023
634649,15644
675,7925
675,5789
675,9438
675,3059
675,2532
675,11835
675,19964
675,9300
675,12106
675,12634
675,14963
675,17949
675,4291
675,4369
675,8852
675,14265
675,298
675,19683
675,5372
675,14304
767,7925
767,5789
767,9109
767,18541
767,3059
767,12634
767,15431
767,10549
767,19369
767,10185
767,17716
767,18687
767,19637
767,4369
767,5132
767,8852
767,5372
767,14304
263115,9004
263115,7175
263115,3481
263115,19413
263115,826
263115,11692
263115,18293
263115,18555
263115,10785
263115,17040
263115,15325
263115,2916
263115,10697
263115,4861
263115,17974
263115,4045
12,13090
12,13567
12,2909
12,2553
12,19626
12,6420
12,13132
12,7150
12,15848
12,17645
12,9348
12,21238
12,6564
12,14394
12,11004
12,2814
12,15156
12,10939
346364,13357
346364,3297
346364,12141
346364,9754
346364,347
346364,6079
346364,14471
346364,9617
346364,11843
346364,523
346364,10185
346364,1364
346364,12118
346364,15904
346364,21152
346364,14285
346364,6195
346364,12395
346364,5802
346364,21490
346364,11412
346364,18612
346364,8639
245891,5529
245891,5471
245891,864
245891,12153
245891,1180
245891,9617
245891,5041
245891,21445
245891,1553
259316,7925
259316,13696
259316,1920
259316,10311
259316,14692
259316,3059
259316,14299
259316,7035
259316,1453
259316,1593
259316,19391
259316,4369
259316,5980
259316,9329
259316,801
259316,14304
12444,7925
12444,14588
12444,9109
12444,18541
12444,12481
12444,10311
12444,14692
12444,19113
12444,3059
12444,7899
12444,5601
12444,10785
12444,15277
12444,17097
12444,978
12444,17716
12444,7834
12444,4369
12444,8852
12444,5372
12444,14304
354912,12064
354912,21147
354912,6504
354912,15951
354912,2423
354912,2498
354912,3317
354912,7167
354912,5802
354912,11322
354912,4409
100402,9004
100402,13326
100402,6493
100402,18293
100402,17594
100402,17040
100402,6564
100402,14394
100402,13930
100402,3566
557,13696
557,18117
557,1052
557,11835
557,1517
557,13073
557,21082
557,18293
557,16642
557,6842
557,478
557,17040
557,5640
557,18687
557,10328
557,12130
557,10384
10681,20460
10681,11692
10681,16554
10681,12906
10681,13329
10681,13918
10681,6564
10681,14394
210577,18053
210577,3297
210577,18402
210577,10176
210577,11910
210577,3318
210577,18824
210577,12068
210577,14285
210577,17603
210577,12645
210577,4591
210577,16787
210577,938
210577,6862
210577,3306
210577,4865
210577,13066
49051,3297
49051,15451
49051,9247
49051,11374
49051,11123
49051,14172
49051,19957
49051,8970
49051,13417
49051,12409
49051,2025
49051,9488
49051,1364
49051,442
49051,7046
49051,4369
49051,1647
49051,12870
49051,13795
49051,5980
49051,8847
49051,13607
49051,16314
49051,6280
49051,15216
49051,15492
49051,7003
49051,6658
49051,396
49051,12891
49051,6320
49051,5573
585,3697
585,1130
585,17625
585,3417
585,18336
585,4747
585,478
585,16021
585,9314
585,18919
585,17530
585,2600
585,18904
585,3830
585,19309
585,17060
585,2468
585,6280
585,21458
585,15636
862,15539
862,14588
862,11794
862,2243
862,12359
862,9754
862,14981
862,9314
862,2553
862,17530
862,21301
862,10936
862,572
862,2297
862,20993
862,4430
862,16670
862,6058
862,17923
281957,17891
281957,3297
281957,2909
281957,18926
281957,14815
281957,12409
281957,7584
281957,17647
281957,3802
281957,14409
281957,10034
281957,4437
281957,277
281957,21412
281957,14559
281957,19252
281957,1180
281957,4497
281957,9617
281957,8733
281957,17686
281957,3966
281957,2685
281957,8543
281957,11994
281957,17838
281957,104
281957,17003
281957,20976
281957,1302
209112,18293
209112,17040
209112,1180
209112,16295
209112,119
209112,2916
209112,9392
209112,10505
209112,21474
209112,3399
209112,6045
209112,11342
209112,19297
8587,3683
8587,11835
8587,15153
8587,18745
8587,9986
8587,17973
8587,4010
8587,21262
8587,9617
8587,16210
8587,3127
8587,1532
8587,20776
8587,19309
8587,3133
8587,7622
8587,2685
8587,20413
8587,18105
98,132
98,11850
98,4238
98,17801
98,8367
98,12886
98,1292
98,2909
98,17962
98,10098
98,2416
98,1180
98,8
98,17436
98,10930
98,19868
98,3463
98,5702
98,5660
98,6791
98,13826
98,323
98,10722
98,17475
37165,7006
37165,11692
37165,19274
37165,1217
37165,11693
37165,15638
37165,5526
37165,5661
37165,3155
37165,21224
9806,19625
9806,19833
9806,13073
9806,18293
9806,16318
9806,21256
9806,4566
9806,1188
9806,2916
9806,6183
9806,3731
9806,12442
329865,18370
329865,11234
329865,14255
329865,3539
329865,14554
329865,5659
329865,19009
329865,1357
329865,18459
329865,19273
329865,8162
329865,15311
329865,12706
329865,17909
329865,10645
329865,13636
329865,5134
496243,11312
496243,4227
496243,11464
496243,14895
496243,11852
496243,18824
496243,17132
496243,6972
496243,10470
496243,19309
496243,3261
496243,3282
496243,17381
496243,15747
496243,11565
496243,3399
496243,1537
496243,14931
496243,1537
496243,11091
496243,10909
496243,16260
496243,8639
496243,14083
496243,7915
496243,11268
496243,8548
496243,1404
496243,3389
496243,2897
76338,18293
76338,17040
76338,11423
76338,8415
76338,6564
76338,14394
76338,13930
76338,19296
1930,7175
1930,11835
1930,18293
1930,17040
1930,16295
1930,9261
1930,6999
1930,5640
1930,2916
1930,15784
1930,14293
1930,497
1930,18427
1930,18423
1930,17167
1930,14394
1930,5165
1930,19675
1930,3378
1930,19552
381288,5730
381288,3417
381288,3802
381288,15325
381288,4676
381288,9261
381288,2916
381288,1972
381288,2481
381288,6418
381288,18259
381288,1179
383498,19833
383498,18293
383498,18555
383498,9161
383498,17040
383498,15325
383498,6564
383498,14394
694,5847
694,5730
694,3297
694,19113
694,19574
694,4440
694,8097
694,15663
694,613
694,15186
694,13644
694,10714
694,18418
694,16034
694,5113
694,13329
694,12463
694,1698
694,7698
694,18824
694,6805
694,20186
694,10153
694,13867
694,10698
694,8758
694,10495
694,7891
694,2391
694,10030
694,1176
694,7218
694,14888
694,18563
694,16825
694,742
694,4776
694,488
694,7365
694,6518
694,4293
694,14690
694,15492
694,16834
694,8968
694,18726
694,16582
694,9676
694,18612
694,6545
694,20730
694,8513
694,3116
694,5693
694,7506
694,16756
694,1962
694,16321
694,3583
694,21403
694,10909
694,10315
694,13273
694,3551
694,18449
694,723
694,9462
694,11375
694,2630
694,1404
694,2344
24,2243
24,1237
24,10308
24,9860
24,8360
24,14172
24,20338
24,9435
24,14899
24,10331
24,1180
24,16295
24,9568
24,12957
24,7747
24,16978
24,14683
24,2134
101299,3517
101299,3297
101299,17580
101299,11692
101299,2436
101299,15879
101299,15325
101299,5175
101299,4497
101299,9617
101299,1213
101299,5659
101299,16690
101299,5372
77338,14588
77338,904
77338,4437
77338,3833
77338,17590
77338,11395
77338,17656
77338,9710
77338,14394
77338,18329
77338,17549
77338,14699
77338,20369
77338,1891
419430,3417
419430,14578
419430,9986
419430,11312
419430,19143
419430,7504
419430,20721
419430,7052
419430,1180
419430,11830
419430,3318
419430,4753
419430,18824
419430,7455
419430,14285
419430,6648
419430,19843
419430,8708
419430,759
205596,18541
205596,9947
205596,15965
205596,20414
205596,9383
205596,21387
205596,20141
205596,20623
205596,5391
205596,14181
205596,10764
205596,2379
205596,20112
205596,19217
424694,9109
424694,18541
424694,5388
424694,2423
424694,3821
424694,18187
424694,21387
424694,4437
424694,3317
424694,5746
424694,20141
424694,4138
424694,14226
424694,5391
424694,12836
424694,20112
424694,5895
497,12065
497,3297
497,20960
497,7293
497,13678
497,14461
497,9300
497,20685
497,19244
497,11399
497,13612
497,18664
497,1486
497,30
497,2957
497,14334
198663,3297
198663,10311
198663,11692
198663,17626
198663,19399
198663,15374
198663,1597
198663,7606
198663,12253
198663,5372
18785,6094
18785,5983
18785,19487
18785,10712
18785,17138
18785,15374
18785,891
18785,7795
1891,3517
1891,8929
1891,18370
1891,10212
1891,6645
1891,16292
1891,15663
1891,6100
1891,11026
1891,752
1891,6281
808,20720
808,3059
808,19292
808,1769
808,18261
808,17581
808,4285
808,16715
808,19845
808,19074
808,11026
808,20911
808,2553
808,21415
808,394
808,13419
808,3641
808,10411
2062,9520
2062,7129
2062,5321
2062,2091
2062,7976
2062,5278
2062,3051
2062,13169
2062,12896
2062,17155
2062,7819
2062,9412
2062,3255
2062,14742
2062,8514
2062,9981
2062,9710
2062,14619
2062,6829
207703,1738
207703,19049
207703,12153
207703,8594
207703,17040
207703,10167
207703,14394
207703,17700
313369,14240
313369,15806
313369,2509
313369,4010
313369,19901
313369,1815
313369,20288
313369,320
313369,13001
313369,11518
313369,15941
313369,240
313369,1821
313369,19352
313369,6254
313369,9295
313369,16564
313369,7751
313369,3509
313369,569
313369,11614
313369,16337
109445,20720
109445,3059
109445,2683
109445,18187
109445,21256
109445,4010
109445,12044
109445,14907
109445,3026
109445,10549
109445,17686
109445,9488
109445,17985
109445,11175
109445,6495
109445,20919
109445,6564
109445,3103
109445,394
109445,3947
109445,14349
109445,15074
109445,11605
374720,4800
374720,18409
374720,2091
374720,6344
374720,8322
374720,15965
374720,13169
374720,90
374720,5705
374720,16057
374720,7045
374720,4437
374720,6714
374720,4497
374720,10930
374720,1220
374720,16186
374720,19273
374720,19295
374720,4161
374720,13201
374720,14002
269149,1044
269149,16268
269149,18745
269149,20820
269149,21256
269149,9754
269149,8351
269149,14895
269149,2553
269149,1180
269149,1213
269149,1034
269149,5659
269149,1294
269149,14285
269149,7888
269149,4514
269149,11539
269149,11967
269149,6648
269149,9607
269149,15337
269149,18483
269149,2961
269149,11226
269149,16299
240832,8823
240832,19574
240832,7520
240832,16875
240832,14786
240832,1368
240832,7795
240832,2916
240832,19242
240832,6731
240832,10121
240832,17347
240832,8607
240832,13066
329,14368
329,19625
329,3567
329,6069
329,8068
329,10210
329,8432
329,10809
329,1093
329,14595
329,6261
274,3297
274,3417
274,7293
274,17010
274,9617
274,12958
274,18824
274,4571
274,12627
274,15958
274,13214
274,16632
129,7925
129,2909
129,14876
129,20009
129,3059
129,16661
129,17060
129,14595
129,6859
129,13806
129,10253
321612,2091
321612,3059
321612,19292
321612,9345
321612,21256
321612,16715
321612,4010
321612,19252
321612,10549
321612,1364
321612,5834
321612,734
321612,9347
321612,6873
58,7925
58,7628
58,16758
58,15529
58,14368
58,8096
58,3697
58,10688
58,12555
58,17252
58,10331
58,2383
58,12627
58,2876
